0.00,3250.00,135.00
3250.00,3750.00,157.50
3750.00,4250.00,180.00
4250.00,4750.00,202.50
4750.00,5250.00,225.00
5250.00,5750.00,247.50
5750.00,6250.00,270.00
6250.00,6750.00,292.50
6750.00,7250.00,315.00
7250.00,7750.00,337.50
7750.00,8250.00,360.00
8250.00,8750.00,382.50
8750.00,9250.00,405.00
9250.00,9750.00,427.50
9750.00,10250.00,450.00
10250.00,10750.00,472.50
10750.00,11250.00,495.00
11250.00,11750.00,517.50
11750.00,12250.00,540.00
12250.00,12750.00,562.50
12750.00,13250.00,585.00
13250.00,13750.00,607.50
13750.00,14250.00,630.00
14250.00,14750.00,652.50
14750.00,15250.00,675.00
15250.00,15750.00,697.50
15750.00,16250.00,720.00
16250.00,16750.00,742.50
16750.00,17250.00,765.00
17250.00,17750.00,787.50
17750.00,18250.00,810.00
18250.00,18750.00,832.50
18750.00,19250.00,855.00
19250.00,19750.00,877.50
19750.00,20250.00,900.00
20250.00,20750.00,922.50
20750.00,21250.00,945.00
21250.00,21750.00,967.50
21750.00,22250.00,990.00
22250.00,22750.00,1012.50
22750.00,23250.00,1035.00
23250.00,23750.00,1057.50
23750.00,24250.00,1080.00
24250.00,24750.00,1102.50
24750.00,25000.00,1125.00
